Date,Open,High,Low,Close,Adj Close,Volume
12/17/14,198.440002,202.339996,198.289993,201.789993,184.487778,253910100
12/16/14,198.580002,202.399994,197.860001,197.910004,180.940491,259543800
12/15/14,201.979996,202.529999,198.779999,199.509995,182.403336,189965800
12/12/14,202.639999,203.820007,200.850006,200.889999,183.664963,202330200
12/11/14,203.880005,206.190002,203.710007,204.190002,186.682022,159012800
12/10/14,205.910004,205.979996,202.929993,203.160004,185.740387,159856400
12/9/14,204.369995,206.600006,203.910004,206.470001,188.766541,125180100
12/8/14,207.520004,208.119995,205.929993,206.610001,188.894531,108588200
12/5/14,207.869995,208.470001,207.550003,208,190.165314,91025500
12/4/14,207.539993,208.270004,206.699997,207.660004,189.854523,91316600
12/3/14,207.300003,208.149994,207.100006,207.889999,190.064804,68952000
12/2/14,205.809998,207.339996,205.779999,207.089996,189.333359,74507200
12/1/14,206.399994,206.539993,205.380005,205.759995,188.117416,103968400
11/28/14,207.490005,207.869995,206.910004,207.199997,189.433945,57890100
11/26/14,207.289993,207.759995,207.029999,207.639999,189.836197,62167800
11/25/14,207.539993,207.789993,206.800003,207.110001,189.351669,79108300
11/24/14,207.169998,207.389999,206.910004,207.259995,189.48877,65880800
11/21/14,207.639999,207.839996,205.979996,206.679993,188.958527,142327300
11/20/14,204.259995,205.710007,204.179993,205.580002,187.952805,72840300
11/19/14,205.309998,205.550003,204.300003,205.220001,187.623718,82373000
11/18/14,204.440002,205.919998,204.440002,205.550003,187.925415,76068100
11/17/14,203.850006,204.580002,203.649994,204.369995,186.846573,80441000
11/14/14,204.100006,204.490005,203.720001,204.240005,186.727737,80417500
11/13/14,204.160004,204.830002,203.210007,204.190002,186.682022,85357900
11/12/14,203.350006,204.240005,203.309998,203.960007,186.471771,90120300
11/11/14,204.059998,204.309998,203.649994,204.179993,186.672882,54499400
11/10/14,203.380005,204.039993,203.130005,203.979996,186.490036,66319000
11/7/14,203.169998,203.600006,202.610001,203.339996,185.904907,89540000
11/6/14,202.389999,203.259995,201.639999,203.149994,185.731186,107089000
11/5/14,202.539993,202.589996,201.449997,202.339996,184.990662,91709000
11/4/14,201.229996,201.600006,200.059998,201.070007,183.829575,93343000
11/3/14,201.919998,202.449997,201.309998,201.770004,184.469543,93600000
10/31/14,201.779999,201.820007,200.770004,201.660004,184.368958,146903000
10/30/14,197.580002,199.949997,197.399994,199.380005,182.284424,113330000
10/29/14,198.550003,199.119995,196.800003,198.110001,181.123352,142557000
